,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,License_number,Brand,Type_of_Veihcle,Veihcle_Model,Production_Year,Engine_Size,Country,LastTestDT,TokefDT,Importer,RoadDT,Engine Type
0,0,0,0,9933579,1.0,1,CK1506,2017,,1,2021,2022,0,2017,1
1,1,1,1,9350173,2.0,1,אוברלנ שירוקי R6GG,2011,,1,2021,2022,0,2011,1
2,2,2,2,9191555,3.0,1,מרקורי 3F92,1974,,1,2021,2022,0,1974,1
3,3,3,3,9751173,4.0,1,סיינהGSL30L-PRTQKA,2012,,1,2021,2022,0,2012,1
4,4,4,4,9990273,5.0,1,ZF13,2012,,2,2020,2022,0,2012,1
5,5,5,5,9832472,4.0,1,קאמריASV40L-CETSKA,2012,,1,2021,2022,0,2012,1
6,6,6,6,9197855,1.0,1,"ארהב קדילאק""",1965,,1,2021,2022,0,1965,1
7,7,7,7,9617979,3.0,1,GT ___________TP8F,2016,,1,2021,2022,0,2016,1
8,8,8,8,9722271,6.0,1,221.071,2010,,3,2021,2021,0,2010,1
9,9,9,9,9018673,6.0,1,S350 CGI____221057,2011,,3,2021,2022,0,2011,1
10,10,10,10,90692201,6.0,1,S-500E 222163,2018,,3,2021,2022,0,2018,2
11,11,11,11,9092672,7.0,1,קנטרי אנד טאון,2009,,4,2021,2022,0,2009,3
12,12,12,12,9327173,8.0,1,XDRIVE30I X5 FE43,2009,,1,2020,2021,0,2009,1
13,13,13,13,9210855,2.0,1,NJ15U,1988,,1,2021,2022,0,1988,1
14,14,14,14,9770775,9.0,1,WA2Kספורט רובר רנג,2014,,5,2021,2022,0,2014,4
15,15,15,15,9837976,2.0,1,רוביקון רנגלר JWCG,2015,,1,2021,2022,1,2015,1
16,16,16,16,90018401,4.0,1,AVX40L-AEXGBA,2016,,1,2021,2022,0,2016,2
17,17,17,17,9825076,4.0,1,אבלו ASX40L-AETGKA,2014,,1,2021,2022,0,2014,1
18,18,18,18,9729971,7.0,1,R5D1,2010,,4,2021,2021,0,2010,1
